affected_table,completed_at,created_at,error_message,fill_percentage,id,job_id,job_item_id,mapped_fields_count,message,metadata,missing_fields_count,module_name,rows_fetched,rows_inserted,rows_skipped,rows_updated,started_at,status,step_name,stock_id,updated_at,yahoo_symbol
stock_financial_highlights,2026-04-29T00:47:10.81+00:00,2026-04-29T00:47:10.81+00:00,"Invalid Crumb Browser-auth fallback also failed: Yahoo browser-auth fallback could not obtain a crumb for ""RELIANCE.NS"" (status 429).",0,4b35bc70-9ed6-4e3c-8a5b-116685e2b984,8305be7e-8b0c-420b-b25e-2784e0d44b42,3a672f24-c541-414c-a445-1d3077b93ad8,13,financial highlights was unavailable for RELIANCE.,"{""rawImportId"":null,""unavailable"":true}",13,financial_highlights,0,0,1,0,2026-04-29T00:47:10.81+00:00,warning,import_failed,1e0fab79-e038-4b74-a135-af61999090cd,2026-04-29T00:47:10.81+00:00,RELIANCE.NS
stock_import_coverage,2026-04-29T00:47:28.268+00:00,2026-04-29T00:47:28.268+00:00,,0,4cb717f4-8218-4d8d-89a8-af961f5cab43,5499d952-89c8-4fad-a98c-50ca9e78af5d,0710658d-6510-4fc4-be5d-5537ac58560b,14,Marked income statement quarterly coverage unavailable for RELIANCE.,"{""rawImportId"":null,""unavailable"":true}",14,income_statement_quarterly,0,0,1,0,2026-04-29T00:47:28.268+00:00,warning,coverage_updated,1e0fab79-e038-4b74-a135-af61999090cd,2026-04-29T00:47:28.268+00:00,RELIANCE.NS
stock_income_statement,2026-04-28T17:49:11.047+00:00,2026-04-28T17:49:11.047+00:00,,96.43,4cdfe6bf-e7e2-4add-81e3-5683fed916c0,df380c4b-5968-4bba-a1b7-6409ba066627,5e438f6a-388b-42cf-b12e-4843f0549b96,28,Normalized income statement quarterly for RELIANCE.,"{""periodType"":""quarterly"",""rawImportId"":""9b5aff5d-d5e5-4f63-aa19-5bfa20db2317"",""latestFiscalDate"":""2025-12-31""}",1,income_statement_quarterly,2,2,0,0,2026-04-28T17:49:08.877+00:00,warning,normalization_completed,1e0fab79-e038-4b74-a135-af61999090cd,2026-04-28T17:49:11.047+00:00,RELIANCE.NS
raw_yahoo_imports,2026-04-29T00:45:56.929+00:00,2026-04-29T00:45:57.335+00:00,,,4fd0fc2a-746b-494a-8f47-f68c277fee7e,f3b587e4-f531-48dc-b65c-dc5c6d37413c,,0,Saved raw Yahoo historical payload for RELIANCE.,"{""period"":""max"",""interval"":""1d"",""sourceUrl"":""https://query1.finance.yahoo.com/v8/finance/chart/RELIANCE.NS?interval=1d&range=max&includePrePost=false&events=div%2Csplits"",""stockSlug"":""reliance-industries"",""sourceName"":""yahoo_finance"",""rawImportId"":""28cc4f25-1122-439f-a810-602d15d89d6e"",""stockSymbol"":""RELIANCE"",""yahooSymbol"":""RELIANCE.NS"",""sourceBucket"":""historical_prices"",""responseStatus"":200,""sourceRecordedAt"":""2026-04-29T00:45:56.929+00:00""}",0,historical_prices,10,0,0,0,2026-04-29T00:45:56.929+00:00,completed,raw_saved,1e0fab79-e038-4b74-a135-af61999090cd,2026-04-29T00:45:57.335+00:00,RELIANCE.NS
stock_import_coverage,2026-04-29T00:46:55.128+00:00,2026-04-29T00:46:55.128+00:00,,90.91,507e7905-ed13-4c43-9587-d6ffd790a677,8305be7e-8b0c-420b-b25e-2784e0d44b42,aac1b03a-b399-42b1-8db9-8497b811a710,11,Updated latest market snapshot coverage for RELIANCE.,"{""bucketKey"":""latest_market_snapshot"",""rawImportId"":""9ca9daa1-e551-4be1-bd67-1ccbf071eeaa"",""fallbackStrategy"":""chart_history""}",1,latest_market_snapshot,1,1,0,0,2026-04-29T00:46:55.128+00:00,warning,coverage_updated,1e0fab79-e038-4b74-a135-af61999090cd,2026-04-29T00:46:55.128+00:00,RELIANCE.NS
stock_market_snapshot,,2026-04-28T18:05:35.402+00:00,,,5093a91c-fbe3-4123-a2fe-2e77b99f0e56,36851626-dfbc-4d60-bf00-0d3bcdb0ff23,,0,Normalizing chart-derived market snapshot into stock_market_snapshot for RELIANCE.,"{""rawImportId"":""590002ad-1c3f-4dcc-8e3f-8c0a399e32ce"",""fallbackStrategy"":""chart_history""}",0,latest_market_snapshot,1,0,0,0,2026-04-28T18:05:35.401+00:00,running,normalization_started,1e0fab79-e038-4b74-a135-af61999090cd,2026-04-28T18:05:35.402+00:00,RELIANCE.NS
stock_market_snapshot,2026-04-28T17:49:00.236+00:00,2026-04-28T17:49:00.236+00:00,,100,5191ce51-99dc-41f6-8688-2df65d9c1bc8,1f72339f-da02-4230-9133-ba72ee62c4fb,72d808e8-442f-4dec-88a9-2fc55baa3579,11,Normalized latest Yahoo snapshot for RELIANCE.,"{""tradeDate"":""2026-04-28"",""rawImportId"":""27ff3d86-94b4-4190-a3bf-84c47e71c0e7""}",0,latest_market_snapshot,1,1,0,0,2026-04-28T17:48:59.557+00:00,completed,normalization_completed,1e0fab79-e038-4b74-a135-af61999090cd,2026-04-28T17:49:00.236+00:00,RELIANCE.NS
stock_import_reconciliation,2026-04-28T17:46:03.942+00:00,2026-04-28T17:46:03.943+00:00,,92.31,5355d084-1de3-4c47-ba63-22a6b809e7ea,a80d4397-c30c-4077-9a9d-a11f808b5e8d,1bb7cccd-766c-42d3-81e5-10d718c948ca,13,Reconciled financial highlights against stock_financial_highlights for RELIANCE.,"{""rawImportId"":""6dc5ffb4-b5cd-47d2-a393-bd644bcb118c"",""targetTable"":""stock_financial_highlights"",""reconciliationStatus"":""completed_with_warnings""}",1,financial_highlights,1,1,0,0,2026-04-28T17:46:03.942+00:00,warning,reconciliation_completed,1e0fab79-e038-4b74-a135-af61999090cd,2026-04-28T17:46:03.943+00:00,RELIANCE.NS
stock_import_coverage,2026-04-29T00:46:02.201+00:00,2026-04-29T00:46:02.201+00:00,,100,5760e3fe-7edc-43b9-9567-3a9deebcfb30,d3dde28e-92e3-4af6-ad50-f317725a08b3,45dbe98e-8e6f-440a-a368-edd2e3a874b0,11,Updated latest market snapshot coverage for RELIANCE.,"{""bucketKey"":""latest_market_snapshot"",""rawImportId"":""7a6f28b0-ecdf-446a-83c7-b0a6acb220f8"",""fallbackStrategy"":null}",0,latest_market_snapshot,1,1,0,0,2026-04-29T00:46:02.201+00:00,completed,coverage_updated,1e0fab79-e038-4b74-a135-af61999090cd,2026-04-29T00:46:02.201+00:00,RELIANCE.NS
stock_import_reconciliation,2026-04-28T17:49:13.212+00:00,2026-04-28T17:49:13.212+00:00,,100,57d40a42-7781-4367-9528-0b52164657a6,df380c4b-5968-4bba-a1b7-6409ba066627,d46df99d-b12a-4cfd-9bee-5cd5a2ad5cd1,26,Reconciled balance sheet annual against stock_balance_sheet for RELIANCE.,"{""rawImportId"":""9b5aff5d-d5e5-4f63-aa19-5bfa20db2317"",""targetTable"":""stock_balance_sheet"",""reconciliationStatus"":""completed""}",0,balance_sheet_annual,2,2,0,0,2026-04-28T17:49:13.212+00:00,completed,reconciliation_completed,1e0fab79-e038-4b74-a135-af61999090cd,2026-04-28T17:49:13.212+00:00,RELIANCE.NS
stock_balance_sheet,2026-04-29T00:47:30.261+00:00,2026-04-29T00:47:30.262+00:00,"Invalid Crumb Browser-auth fallback also failed: Yahoo browser-auth fallback could not obtain a crumb for ""RELIANCE.NS"" (status 429).",0,59659683-a82a-4027-826a-ba6064eec80c,5499d952-89c8-4fad-a98c-50ca9e78af5d,b200de6f-3a26-473f-89a3-8ee409bb8949,13,balance sheet quarterly was unavailable for RELIANCE.,"{""rawImportId"":null,""unavailable"":true}",13,balance_sheet_quarterly,0,0,1,0,2026-04-29T00:47:30.261+00:00,warning,import_failed,1e0fab79-e038-4b74-a135-af61999090cd,2026-04-29T00:47:30.262+00:00,RELIANCE.NS
raw_yahoo_imports,2026-04-29T00:46:00.656+00:00,2026-04-29T00:46:01.045+00:00,,,59afe38b-5e6e-42d9-9594-351fa7d82321,d3dde28e-92e3-4af6-ad50-f317725a08b3,,0,Saved raw Yahoo market snapshot payload for RELIANCE.,"{""sourceUrl"":""https://query1.finance.yahoo.com/v7/finance/quote?symbols=RELIANCE.NS&formatted=false"",""stockSlug"":""reliance-industries"",""sourceName"":""yahoo_finance"",""rawImportId"":""7a6f28b0-ecdf-446a-83c7-b0a6acb220f8"",""stockSymbol"":""RELIANCE"",""yahooSymbol"":""RELIANCE.NS"",""sourceBucket"":""quote_latest"",""fallbackStrategy"":null,""sourceRecordedAt"":""2026-04-29T00:46:00.656+00:00""}",0,latest_market_snapshot,1,0,0,0,2026-04-29T00:46:00.656+00:00,completed,raw_saved,1e0fab79-e038-4b74-a135-af61999090cd,2026-04-29T00:46:01.045+00:00,RELIANCE.NS
stock_import_coverage,2026-04-29T00:47:27.101+00:00,2026-04-29T00:47:27.101+00:00,,0,5a4cfade-7787-4b59-a42e-ebd01553dc70,5499d952-89c8-4fad-a98c-50ca9e78af5d,cfee5648-dd0c-48d2-93d4-a8f310394b13,14,Marked income statement annual coverage unavailable for RELIANCE.,"{""rawImportId"":null,""unavailable"":true}",14,income_statement_annual,0,0,1,0,2026-04-29T00:47:27.101+00:00,warning,coverage_updated,1e0fab79-e038-4b74-a135-af61999090cd,2026-04-29T00:47:27.101+00:00,RELIANCE.NS
stock_import_coverage,2026-04-28T17:49:15.345+00:00,2026-04-28T17:49:15.346+00:00,,100,5b1f367d-bd8d-4508-8a16-17dde291b4d1,df380c4b-5968-4bba-a1b7-6409ba066627,f3c3d2aa-7a61-469e-bb62-c13d9b9d3879,22,Updated cash flow annual coverage for RELIANCE.,"{""bucketKey"":""cash_flow_annual"",""rawImportId"":""9b5aff5d-d5e5-4f63-aa19-5bfa20db2317""}",0,cash_flow_annual,2,2,0,0,2026-04-28T17:49:15.345+00:00,completed,coverage_updated,1e0fab79-e038-4b74-a135-af61999090cd,2026-04-28T17:49:15.346+00:00,RELIANCE.NS
stock_import_coverage,2026-04-28T17:46:11.354+00:00,2026-04-28T17:46:11.354+00:00,,96.15,5c71111d-6d91-4c96-8fc7-f073abbe1e98,9f7616df-ad7c-4eb6-b1e3-3434712e6a42,f7a14e6e-f558-4107-b57a-c4634b05ae0d,26,Updated balance sheet quarterly coverage for RELIANCE.,"{""bucketKey"":""balance_sheet_quarterly"",""rawImportId"":""0d361d85-e8b1-472a-91dc-c031289d2f44""}",1,balance_sheet_quarterly,2,2,0,0,2026-04-28T17:46:11.354+00:00,warning,coverage_updated,1e0fab79-e038-4b74-a135-af61999090cd,2026-04-28T17:46:11.354+00:00,RELIANCE.NS
stock_income_statement,,2026-04-28T17:49:08.878+00:00,,,5defef28-0c13-483f-b0fd-e46d4333e086,df380c4b-5968-4bba-a1b7-6409ba066627,,0,Normalizing Yahoo financial statement buckets for RELIANCE.,"{""rawImportId"":""9b5aff5d-d5e5-4f63-aa19-5bfa20db2317""}",0,financial_statements,1,0,0,0,2026-04-28T17:49:08.877+00:00,running,normalization_started,1e0fab79-e038-4b74-a135-af61999090cd,2026-04-28T17:49:08.878+00:00,RELIANCE.NS
raw_yahoo_imports,,2026-04-28T17:46:05.007+00:00,,,5f7863ed-7eb8-46cb-83c7-92d1e1cfb24e,9f7616df-ad7c-4eb6-b1e3-3434712e6a42,,0,Fetching Yahoo financial statements for RELIANCE.,{},0,financial_statements,0,0,0,0,2026-04-28T17:46:05.007+00:00,running,fetch_started,1e0fab79-e038-4b74-a135-af61999090cd,2026-04-28T17:46:05.007+00:00,RELIANCE.NS
stock_cash_flow,2026-04-28T17:49:16.201+00:00,2026-04-28T17:49:16.202+00:00,,95.45,60538e6d-2165-4d79-b550-bf070ebd457b,df380c4b-5968-4bba-a1b7-6409ba066627,0c224d2c-09da-47fc-be2d-2d9893797ae6,22,Normalized cash flow quarterly for RELIANCE.,"{""periodType"":""quarterly"",""rawImportId"":""9b5aff5d-d5e5-4f63-aa19-5bfa20db2317"",""latestFiscalDate"":""2025-12-31""}",1,cash_flow_quarterly,2,2,0,0,2026-04-28T17:49:08.877+00:00,warning,normalization_completed,1e0fab79-e038-4b74-a135-af61999090cd,2026-04-28T17:49:16.202+00:00,RELIANCE.NS
