change_percent,created_at,id,payload,price,quoted_at,refresh_run_id,slug,source_code,source_label,updated_at
-0.64,2026-04-17T19:37:38.0966+00:00,055f1e75-0ae0-4bd0-b31f-83da8f8d4cd7,"{""price"":439.15,""source"":""NSE quote endpoint"",""ingestMode"":""refresh_pipeline"",""sourceCode"":""nse_equities"",""lastUpdated"":""2026-04-17T16:00:00.000Z"",""changePercent"":-0.64}",439.15,2026-04-17T16:00:00+00:00,e10d6b25-296b-4bd8-9dd6-b0be6dfa424c,tata-motors,nse_equities,NSE quote endpoint,2026-04-17T19:51:43.146+00:00
0.26,2026-04-17T14:58:04.390706+00:00,09387987-ecf1-424f-87a5-a053f6faf9f4,"{""price"":2583.6,""source"":""NSE quote endpoint"",""ingestMode"":""refresh_pipeline"",""sourceCode"":""nse_equities"",""lastUpdated"":""2026-04-17T16:00:00.000Z"",""changePercent"":0.26}",2583.6,2026-04-17T16:00:00+00:00,474358be-9e4f-49ac-9c20-ef3bb318bb0b,tcs,nse_equities,NSE quote endpoint,2026-04-17T19:51:47.294+00:00
-1.04,2026-04-17T19:47:06.288029+00:00,0cd5644e-ec6a-4e21-a08c-45b7f8aa7c7d,"{""price"":1675.5,""source"":""NSE quote endpoint"",""ingestMode"":""refresh_pipeline"",""sourceCode"":""nse_equities"",""lastUpdated"":""2026-04-17T16:00:00.000Z"",""changePercent"":-1.04}",1675.5,2026-04-17T16:00:00+00:00,3d2efb5d-9902-409a-b280-807b19e9fa61,sun-pharma,nse_equities,NSE quote endpoint,2026-04-17T19:52:01.871+00:00
0.54,2026-04-17T14:58:07.326872+00:00,0d29dbb5-7b58-4103-8df9-e37a9afe3edd,"{""price"":1352.8,""source"":""NSE quote endpoint"",""ingestMode"":""refresh_pipeline"",""sourceCode"":""nse_equities"",""lastUpdated"":""2026-04-17T16:00:00.000Z"",""changePercent"":0.54}",1352.8,2026-04-17T16:00:00+00:00,4feb06ab-c9ff-4f31-9065-5ae855c6329f,icici-bank,nse_equities,NSE quote endpoint,2026-04-17T19:51:49.783+00:00
0.5,2026-04-28T04:32:18.763364+00:00,0f48aabd-27f9-4804-8d00-9ec9f2e0f758,"{""verify"":true}",108,2026-04-28T04:32:18.763364+00:00,,__riddra_market_data_verify__,verify,verify_sql,2026-04-28T04:32:18.763364+00:00
0.603368,2026-04-28T09:32:45.644565+00:00,144f7dd2-354a-4b7a-b712-73ebe9cafa0a,"{""price"":1358.9,""source"":""google_sheet_stock_ohlcv"",""ingestMode"":""manual_entry"",""sourceCode"":null,""lastUpdated"":""2026-05-01T10:00:00.000Z"",""changePercent"":0.6033684989820537}",1358.9,2026-05-01T10:00:00+00:00,ee3dd995-8de3-4927-acdc-ed308ca92dbc,reliance-industries,,google_sheet_stock_ohlcv,2026-04-28T09:32:45.463+00:00
1.04,2026-04-17T19:47:05.03104+00:00,200e72d9-97cb-4bee-b184-63351759325b,"{""price"":13474,""source"":""NSE quote endpoint"",""ingestMode"":""refresh_pipeline"",""sourceCode"":""nse_equities"",""lastUpdated"":""2026-04-17T16:00:00.000Z"",""changePercent"":1.04}",13474,2026-04-17T16:00:00+00:00,da96032e-c0f5-4f5c-a3f4-c59595983709,maruti-suzuki,nse_equities,NSE quote endpoint,2026-04-17T19:51:56.396+00:00
0,2026-04-28T06:57:53.420868+00:00,239bad92-8c89-45f3-ae2d-795ea51f45b9,"{""price"":1376.199951,""source"":""yahoo_finance_import"",""ingestMode"":""manual_entry"",""sourceCode"":null,""lastUpdated"":""2026-04-28T10:00:00.000Z"",""changePercent"":0}",1376.199951,2026-04-28T10:00:00+00:00,f5b6f191-4946-45e3-8560-39728a83217b,reliance-industries,,yahoo_finance_import,2026-04-28T07:05:46.337+00:00
-0.36,2026-04-17T19:47:03.560028+00:00,2517a10e-d685-41cd-92c2-2400f331cf00,"{""price"":4105,""source"":""NSE quote endpoint"",""ingestMode"":""refresh_pipeline"",""sourceCode"":""nse_equities"",""lastUpdated"":""2026-04-17T16:00:00.000Z"",""changePercent"":-0.36}",4105,2026-04-17T16:00:00+00:00,512b29ba-3037-4924-9c47-9f948e267d45,larsen-and-toubro,nse_equities,NSE quote endpoint,2026-04-17T19:51:55.101+00:00
1.61,2026-04-17T14:58:01.03888+00:00,2e5d719f-b63d-42c0-9061-4b80d791d4ce,"{""price"":1364.9,""source"":""NSE quote endpoint"",""ingestMode"":""refresh_pipeline"",""sourceCode"":""nse_equities"",""lastUpdated"":""2026-04-17T16:00:00.000Z"",""changePercent"":1.61}",1364.9,2026-04-17T16:00:00+00:00,ffd6560d-2e42-4864-b59e-5b7eed09f7e7,reliance-industries,nse_equities,NSE quote endpoint,2026-04-17T19:51:44.674+00:00
4.72,2026-04-17T19:47:12.636594+00:00,4ab92021-f151-494f-a938-816fb78ed131,"{""price"":2240,""source"":""NSE quote endpoint"",""ingestMode"":""refresh_pipeline"",""sourceCode"":""nse_equities"",""lastUpdated"":""2026-04-17T16:00:00.000Z"",""changePercent"":4.72}",2240,2026-04-17T16:00:00+00:00,c0b7cef5-5978-4538-b821-4c736b2cd175,hindustan-unilever,nse_equities,NSE quote endpoint,2026-04-17T19:52:12.337+00:00
-2.83,2026-04-17T19:47:17.719232+00:00,503b13a6-d372-4f80-9692-721afcf9d859,"{""price"":204.3,""source"":""NSE quote endpoint"",""ingestMode"":""refresh_pipeline"",""sourceCode"":""nse_equities"",""lastUpdated"":""2026-04-17T16:00:00.000Z"",""changePercent"":-2.83}",204.3,2026-04-17T16:00:00+00:00,953c1a6d-49d8-43d7-84e0-02fcaa7f95d9,wipro,nse_equities,NSE quote endpoint,2026-04-17T19:52:18.866+00:00
0.603368,2026-04-28T08:32:38.809256+00:00,56ce3ec6-1075-4e5b-a065-1971ad2814aa,"{""price"":1358.9,""source"":""google_sheet_9e8e9c98-c713-40b5-a941-d88bd9fd6c1a"",""ingestMode"":""manual_entry"",""sourceCode"":null,""lastUpdated"":""2026-05-01T10:00:00.000Z"",""changePercent"":0.6033684989820537}",1358.9,2026-05-01T10:00:00+00:00,001ee7d4-c57c-4577-a285-331d0cc33910,reliance-industries,,google_sheet_9e8e9c98-c713-40b5-a941-d88bd9fd6c1a,2026-04-28T08:32:38.694+00:00
0.34,2026-04-17T19:47:10.093505+00:00,5bb27348-3d3f-459b-a655-181c38fd7c1d,"{""price"":909,""source"":""NSE quote endpoint"",""ingestMode"":""refresh_pipeline"",""sourceCode"":""nse_equities"",""lastUpdated"":""2026-04-17T16:00:00.000Z"",""changePercent"":0.34}",909,2026-04-17T16:00:00+00:00,ac5b01c6-7e26-414c-b077-f8b5b43ec764,bajaj-finance,nse_equities,NSE quote endpoint,2026-04-17T19:52:09.46+00:00
