created_at,id,job_id,metadata,missing_optional_fields,missing_required_fields,module_name,normalized_records_count,raw_import_id,raw_records_count,reconciliation_notes,reconciliation_status,stock_id,target_table,unmapped_records_count,updated_at,yahoo_symbol
2026-04-28T17:49:14.281+00:00,439a4d06-02e0-4b01-a3b5-b0be120b01e6,df380c4b-5968-4bba-a1b7-6409ba066627,"{""sourceUrl"":""https://query1.finance.yahoo.com/v10/finance/quoteSummary/RELIANCE.NS?modules=incomeStatementHistory%2CincomeStatementHistoryQuarterly%2CbalanceSheetHistory%2CbalanceSheetHistoryQuarterly%2CcashflowStatementHistory%2CcashflowStatementHistoryQuarterly&formatted=false&corsDomain=finance.yahoo.com"",""stockSlug"":""reliance-industries"",""periodType"":""quarterly"",""sourceName"":""yahoo_finance"",""rawImportId"":""9b5aff5d-d5e5-4f63-aa19-5bfa20db2317"",""stockSymbol"":""RELIANCE"",""yahooSymbol"":""RELIANCE.NS"",""fillPercentage"":96.15,""latestFiscalDate"":""2025-12-31"",""sourceRecordedAt"":""2026-04-28T17:49:08.203+00:00""}","[""2025-09-30:receivables""]",[],balance_sheet_quarterly,2,9b5aff5d-d5e5-4f63-aa19-5bfa20db2317,2,Normalized 2 of 2 raw statement rows for balance_sheet_quarterly.,completed_with_warnings,1e0fab79-e038-4b74-a135-af61999090cd,stock_balance_sheet,0,2026-04-28T17:49:14.281+00:00,RELIANCE.NS
2026-04-29T00:46:05.02+00:00,4662e9c8-2101-4daa-8b49-eb0a26fb54ce,d3dde28e-92e3-4af6-ad50-f317725a08b3,"{""sourceUrl"":""https://query1.finance.yahoo.com/v10/finance/quoteSummary/RELIANCE.NS?modules=summaryDetail%2CdefaultKeyStatistics%2CfinancialData%2Cprice&formatted=false&corsDomain=finance.yahoo.com"",""stockSlug"":""reliance-industries"",""tradeDate"":""2026-04-28"",""sourceName"":""yahoo_finance"",""rawImportId"":""e8e84b93-404c-4e6d-a178-69262ed05965"",""stockSymbol"":""RELIANCE"",""yahooSymbol"":""RELIANCE.NS"",""fillPercentage"":100,""sourceRecordedAt"":""2026-04-29T00:46:03.156+00:00""}",[],[],valuation_metrics,1,e8e84b93-404c-4e6d-a178-69262ed05965,1,valuation metrics mapped 11/11 fields.,completed,1e0fab79-e038-4b74-a135-af61999090cd,stock_valuation_metrics,0,2026-04-29T00:46:05.02+00:00,RELIANCE.NS
2026-04-29T00:46:41.401+00:00,4e24a00b-087a-437a-82ea-c1f1eed9fe81,2ee8eb0c-4ae6-4079-bd22-045059e93e40,"{""sourceUrl"":""https://query1.finance.yahoo.com/v8/finance/chart/RELIANCE.NS?interval=1d&range=max&includePrePost=false&events=div%2Csplits"",""stockSlug"":""reliance-industries"",""sourceName"":""yahoo_finance"",""rawImportId"":""4cb10bcb-dbe3-40a8-b6ad-844bc7fa1883"",""skippedRows"":0,""stockSymbol"":""RELIANCE"",""updatedRows"":365,""yahooSymbol"":""RELIANCE.NS"",""insertedRows"":0,""duplicateMode"":""replace_matching_dates"",""sourceRecordedAt"":""2026-04-29T00:46:37.948+00:00"",""completionPercentage"":100}",[],[],historical_prices,365,4cb10bcb-dbe3-40a8-b6ad-844bc7fa1883,365,"Imported Yahoo daily history for RELIANCE. Inserted 0, updated 365, skipped 0. Latest available date: 2026-04-28.",completed,1e0fab79-e038-4b74-a135-af61999090cd,stock_price_history,0,2026-04-29T00:46:41.401+00:00,RELIANCE.NS
2026-04-29T00:46:15.538+00:00,53284f71-05b0-4296-954e-a6ea31c96194,0df088ad-d43d-415c-a4ca-d71696c1855d,"{""sourceUrl"":""https://query1.finance.yahoo.com/v10/finance/quoteSummary/RELIANCE.NS?modules=incomeStatementHistory%2CincomeStatementHistoryQuarterly%2CbalanceSheetHistory%2CbalanceSheetHistoryQuarterly%2CcashflowStatementHistory%2CcashflowStatementHistoryQuarterly&formatted=false&corsDomain=finance.yahoo.com"",""stockSlug"":""reliance-industries"",""periodType"":""annual"",""sourceName"":""yahoo_finance"",""rawImportId"":""8a13a0e6-a16f-4866-af67-abd7bd1b528e"",""stockSymbol"":""RELIANCE"",""yahooSymbol"":""RELIANCE.NS"",""fillPercentage"":100,""latestFiscalDate"":""2025-03-31"",""sourceRecordedAt"":""2026-04-29T00:46:08.928+00:00""}",[],[],cash_flow_annual,2,8a13a0e6-a16f-4866-af67-abd7bd1b528e,2,Normalized 2 of 2 raw statement rows for cash_flow_annual.,completed,1e0fab79-e038-4b74-a135-af61999090cd,stock_cash_flow,0,2026-04-29T00:46:15.538+00:00,RELIANCE.NS
2026-04-28T18:05:19.983+00:00,568e50a3-f036-4138-8207-9289e497a73e,592d1d3f-ce29-406e-b830-1e83fc1dc840,"{""sourceUrl"":""https://query1.finance.yahoo.com/v8/finance/chart/RELIANCE.NS?interval=1d&range=max&includePrePost=false&events=div%2Csplits"",""stockSlug"":""reliance-industries"",""sourceName"":""yahoo_finance"",""rawImportId"":""160e383b-f36b-41cf-9096-c3e0b3a4679d"",""skippedRows"":0,""stockSymbol"":""RELIANCE"",""updatedRows"":365,""yahooSymbol"":""RELIANCE.NS"",""insertedRows"":0,""duplicateMode"":""replace_matching_dates"",""sourceRecordedAt"":""2026-04-28T18:05:12.366+00:00"",""completionPercentage"":100}",[],[],historical_prices,365,160e383b-f36b-41cf-9096-c3e0b3a4679d,365,"Imported Yahoo daily history for RELIANCE. Inserted 0, updated 365, skipped 0. Latest available date: 2026-04-28.",completed,1e0fab79-e038-4b74-a135-af61999090cd,stock_price_history,0,2026-04-28T18:05:19.983+00:00,RELIANCE.NS
2026-04-29T00:46:06.186+00:00,59a3de24-65ee-44b4-a871-1d4f5d034604,d3dde28e-92e3-4af6-ad50-f317725a08b3,"{""sourceUrl"":""https://query1.finance.yahoo.com/v10/finance/quoteSummary/RELIANCE.NS?modules=summaryDetail%2CdefaultKeyStatistics%2CfinancialData%2Cprice&formatted=false&corsDomain=finance.yahoo.com"",""stockSlug"":""reliance-industries"",""tradeDate"":""2026-04-28"",""sourceName"":""yahoo_finance"",""rawImportId"":""e8e84b93-404c-4e6d-a178-69262ed05965"",""stockSymbol"":""RELIANCE"",""yahooSymbol"":""RELIANCE.NS"",""fillPercentage"":80,""sourceRecordedAt"":""2026-04-29T00:46:03.156+00:00""}","[""implied_shares_outstanding"",""short_percent_float""]",[],share_statistics,1,e8e84b93-404c-4e6d-a178-69262ed05965,1,share statistics mapped 8/10 fields.,completed_with_warnings,1e0fab79-e038-4b74-a135-af61999090cd,stock_share_statistics,0,2026-04-29T00:46:06.186+00:00,RELIANCE.NS
2026-04-29T00:47:09.075+00:00,5cdc711b-7a80-4e6b-8ee5-03633ae09f2b,8305be7e-8b0c-420b-b25e-2784e0d44b42,"{""sourceUrl"":null,""stockSlug"":""reliance-industries"",""sourceName"":""yahoo_finance"",""rawImportId"":null,""stockSymbol"":""RELIANCE"",""unavailable"":true,""yahooSymbol"":""RELIANCE.NS"",""sourceRecordedAt"":null}","[""market_cap"",""enterprise_value"",""trailing_pe"",""forward_pe"",""peg_ratio"",""price_to_book"",""ev_to_revenue"",""ev_to_ebitda"",""trailing_eps"",""forward_eps"",""dividend_yield""]","[""provider_response_unavailable""]",valuation_metrics,0,,0,"Invalid Crumb Browser-auth fallback also failed: Yahoo browser-auth fallback could not obtain a crumb for ""RELIANCE.NS"" (status 429).",no_data,1e0fab79-e038-4b74-a135-af61999090cd,stock_valuation_metrics,0,2026-04-29T00:47:09.075+00:00,RELIANCE.NS
2026-04-29T00:47:31.994+00:00,5d5733bd-8281-4b41-be66-d2e395cf531c,5499d952-89c8-4fad-a98c-50ca9e78af5d,"{""sourceUrl"":null,""stockSlug"":""reliance-industries"",""sourceName"":""yahoo_finance"",""rawImportId"":null,""stockSymbol"":""RELIANCE"",""unavailable"":true,""yahooSymbol"":""RELIANCE.NS"",""sourceRecordedAt"":null}","[""currency_code"",""operating_cash_flow"",""investing_cash_flow"",""financing_cash_flow"",""capital_expenditure"",""free_cash_flow"",""dividends_paid"",""stock_based_compensation"",""depreciation_amortization"",""beginning_cash_position"",""end_cash_position""]","[""provider_response_unavailable""]",cash_flow_annual,0,,0,"Invalid Crumb Browser-auth fallback also failed: Yahoo browser-auth fallback could not obtain a crumb for ""RELIANCE.NS"" (status 429).",no_data,1e0fab79-e038-4b74-a135-af61999090cd,stock_cash_flow,0,2026-04-29T00:47:31.994+00:00,RELIANCE.NS
2026-04-28T18:06:14.846+00:00,5f307085-4d0c-4f38-a65c-b25f22e6d1d8,b5566018-8d93-49b8-9428-867776813868,"{""sourceUrl"":null,""stockSlug"":""reliance-industries"",""sourceName"":""yahoo_finance"",""rawImportId"":null,""stockSymbol"":""RELIANCE"",""unavailable"":true,""yahooSymbol"":""RELIANCE.NS"",""sourceRecordedAt"":null}","[""currency_code"",""total_assets"",""total_liabilities"",""stockholders_equity"",""current_assets"",""current_liabilities"",""cash_and_equivalents"",""inventory"",""receivables"",""payables"",""short_term_debt"",""long_term_debt"",""net_debt""]","[""provider_response_unavailable""]",balance_sheet_quarterly,0,,0,"Invalid Crumb Browser-auth fallback also failed: Yahoo browser-auth fallback could not obtain a crumb for ""RELIANCE.NS"" (status 429).",no_data,1e0fab79-e038-4b74-a135-af61999090cd,stock_balance_sheet,0,2026-04-28T18:06:14.846+00:00,RELIANCE.NS
2026-04-28T18:05:53.271+00:00,6dedee95-4627-42a5-bcec-705ed2f1a4df,36851626-dfbc-4d60-bf00-0d3bcdb0ff23,"{""sourceUrl"":null,""stockSlug"":""reliance-industries"",""sourceName"":""yahoo_finance"",""rawImportId"":null,""stockSymbol"":""RELIANCE"",""unavailable"":true,""yahooSymbol"":""RELIANCE.NS"",""sourceRecordedAt"":null}","[""shares_outstanding"",""float_shares"",""implied_shares_outstanding"",""shares_short"",""shares_short_prior_month"",""shares_short_ratio"",""short_percent_float"",""short_percent_shares_outstanding"",""held_percent_insiders"",""held_percent_institutions""]","[""provider_response_unavailable""]",share_statistics,0,,0,"Invalid Crumb Browser-auth fallback also failed: Yahoo browser-auth fallback could not obtain a crumb for ""RELIANCE.NS"" (status 429).",no_data,1e0fab79-e038-4b74-a135-af61999090cd,stock_share_statistics,0,2026-04-28T18:05:53.271+00:00,RELIANCE.NS
2026-04-28T18:03:45.15+00:00,6eb55e3f-91d6-4b96-9a0d-4902b7dc6062,2b7a1957-2e52-4b32-abc2-035d01ff834b,"{""sourceUrl"":""https://query1.finance.yahoo.com/v8/finance/chart/RELIANCE.NS?interval=1d&range=max&includePrePost=false&events=div%2Csplits"",""stockSlug"":""reliance-industries"",""sourceName"":""yahoo_finance"",""rawImportId"":""bbaa8481-19dc-4e6a-b830-b02e97d1270f"",""skippedRows"":0,""stockSymbol"":""RELIANCE"",""updatedRows"":365,""yahooSymbol"":""RELIANCE.NS"",""insertedRows"":0,""duplicateMode"":""replace_matching_dates"",""sourceRecordedAt"":""2026-04-28T18:03:41.363+00:00"",""completionPercentage"":100}",[],[],historical_prices,365,bbaa8481-19dc-4e6a-b830-b02e97d1270f,365,"Imported Yahoo daily history for RELIANCE. Inserted 0, updated 365, skipped 0. Latest available date: 2026-04-28.",completed,1e0fab79-e038-4b74-a135-af61999090cd,stock_price_history,0,2026-04-28T18:03:45.15+00:00,RELIANCE.NS
2026-04-28T18:06:13.353+00:00,716c4b5a-559a-4b13-b2f2-629a80bd055f,b5566018-8d93-49b8-9428-867776813868,"{""sourceUrl"":null,""stockSlug"":""reliance-industries"",""sourceName"":""yahoo_finance"",""rawImportId"":null,""stockSymbol"":""RELIANCE"",""unavailable"":true,""yahooSymbol"":""RELIANCE.NS"",""sourceRecordedAt"":null}","[""currency_code"",""total_assets"",""total_liabilities"",""stockholders_equity"",""current_assets"",""current_liabilities"",""cash_and_equivalents"",""inventory"",""receivables"",""payables"",""short_term_debt"",""long_term_debt"",""net_debt""]","[""provider_response_unavailable""]",balance_sheet_annual,0,,0,"Invalid Crumb Browser-auth fallback also failed: Yahoo browser-auth fallback could not obtain a crumb for ""RELIANCE.NS"" (status 429).",no_data,1e0fab79-e038-4b74-a135-af61999090cd,stock_balance_sheet,0,2026-04-28T18:06:13.353+00:00,RELIANCE.NS
2026-04-28T17:46:12.785+00:00,71b53410-8761-480e-b03f-52796113833c,9f7616df-ad7c-4eb6-b1e3-3434712e6a42,"{""sourceUrl"":""https://query1.finance.yahoo.com/v10/finance/quoteSummary/RELIANCE.NS?modules=incomeStatementHistory%2CincomeStatementHistoryQuarterly%2CbalanceSheetHistory%2CbalanceSheetHistoryQuarterly%2CcashflowStatementHistory%2CcashflowStatementHistoryQuarterly&formatted=false&corsDomain=finance.yahoo.com"",""stockSlug"":""reliance-industries"",""periodType"":""annual"",""sourceName"":""yahoo_finance"",""rawImportId"":""0d361d85-e8b1-472a-91dc-c031289d2f44"",""stockSymbol"":""RELIANCE"",""yahooSymbol"":""RELIANCE.NS"",""fillPercentage"":100,""latestFiscalDate"":""2025-03-31"",""sourceRecordedAt"":""2026-04-28T17:46:05.397+00:00""}",[],[],cash_flow_annual,2,0d361d85-e8b1-472a-91dc-c031289d2f44,2,Normalized 2 of 2 raw statement rows for cash_flow_annual.,completed,1e0fab79-e038-4b74-a135-af61999090cd,stock_cash_flow,0,2026-04-28T17:46:12.785+00:00,RELIANCE.NS
2026-04-29T00:46:10.821+00:00,72fc4153-e4e1-4638-ab7c-5908208c69d6,0df088ad-d43d-415c-a4ca-d71696c1855d,"{""sourceUrl"":""https://query1.finance.yahoo.com/v10/finance/quoteSummary/RELIANCE.NS?modules=incomeStatementHistory%2CincomeStatementHistoryQuarterly%2CbalanceSheetHistory%2CbalanceSheetHistoryQuarterly%2CcashflowStatementHistory%2CcashflowStatementHistoryQuarterly&formatted=false&corsDomain=finance.yahoo.com"",""stockSlug"":""reliance-industries"",""periodType"":""annual"",""sourceName"":""yahoo_finance"",""rawImportId"":""8a13a0e6-a16f-4866-af67-abd7bd1b528e"",""stockSymbol"":""RELIANCE"",""yahooSymbol"":""RELIANCE.NS"",""fillPercentage"":100,""latestFiscalDate"":""2025-03-31"",""sourceRecordedAt"":""2026-04-29T00:46:08.928+00:00""}",[],[],income_statement_annual,2,8a13a0e6-a16f-4866-af67-abd7bd1b528e,2,Normalized 2 of 2 raw statement rows for income_statement_annual.,completed,1e0fab79-e038-4b74-a135-af61999090cd,stock_income_statement,0,2026-04-29T00:46:10.821+00:00,RELIANCE.NS
2026-04-29T00:46:13.209+00:00,815aea23-e3a4-4276-9703-580763657a29,0df088ad-d43d-415c-a4ca-d71696c1855d,"{""sourceUrl"":""https://query1.finance.yahoo.com/v10/finance/quoteSummary/RELIANCE.NS?modules=incomeStatementHistory%2CincomeStatementHistoryQuarterly%2CbalanceSheetHistory%2CbalanceSheetHistoryQuarterly%2CcashflowStatementHistory%2CcashflowStatementHistoryQuarterly&formatted=false&corsDomain=finance.yahoo.com"",""stockSlug"":""reliance-industries"",""periodType"":""annual"",""sourceName"":""yahoo_finance"",""rawImportId"":""8a13a0e6-a16f-4866-af67-abd7bd1b528e"",""stockSymbol"":""RELIANCE"",""yahooSymbol"":""RELIANCE.NS"",""fillPercentage"":100,""latestFiscalDate"":""2025-03-31"",""sourceRecordedAt"":""2026-04-29T00:46:08.928+00:00""}",[],[],balance_sheet_annual,2,8a13a0e6-a16f-4866-af67-abd7bd1b528e,2,Normalized 2 of 2 raw statement rows for balance_sheet_annual.,completed,1e0fab79-e038-4b74-a135-af61999090cd,stock_balance_sheet,0,2026-04-29T00:46:13.209+00:00,RELIANCE.NS
2026-04-28T17:49:10.389+00:00,86935db1-d0fe-4432-83c6-770f313c726b,df380c4b-5968-4bba-a1b7-6409ba066627,"{""sourceUrl"":""https://query1.finance.yahoo.com/v10/finance/quoteSummary/RELIANCE.NS?modules=incomeStatementHistory%2CincomeStatementHistoryQuarterly%2CbalanceSheetHistory%2CbalanceSheetHistoryQuarterly%2CcashflowStatementHistory%2CcashflowStatementHistoryQuarterly&formatted=false&corsDomain=finance.yahoo.com"",""stockSlug"":""reliance-industries"",""periodType"":""annual"",""sourceName"":""yahoo_finance"",""rawImportId"":""9b5aff5d-d5e5-4f63-aa19-5bfa20db2317"",""stockSymbol"":""RELIANCE"",""yahooSymbol"":""RELIANCE.NS"",""fillPercentage"":100,""latestFiscalDate"":""2025-03-31"",""sourceRecordedAt"":""2026-04-28T17:49:08.203+00:00""}",[],[],income_statement_annual,2,9b5aff5d-d5e5-4f63-aa19-5bfa20db2317,2,Normalized 2 of 2 raw statement rows for income_statement_annual.,completed,1e0fab79-e038-4b74-a135-af61999090cd,stock_income_statement,0,2026-04-28T17:49:10.389+00:00,RELIANCE.NS
